videos subidos,titulo,direccion,publicado
1,Japón: cultura y actualidad. Makiko Morimoto y Mariano Jiménez,https://www.youtube.com/watch?v=fOK7Q-YMMIg,2016-02-01 16:08:55
2,Japón: cultura y actualidad. Makiko Morimoto y Mariano Jiménez,https://www.youtube.com/watch?v=fOK7Q-YMMIg,2016-02-01 16:08:55
3,Sebastian Iradier: el compositor olvidado. Sabin Salaberri,https://www.youtube.com/watch?v=XqTFdQOEZ6A,2016-02-08 15:45:45
4,Sebastian Iradier: el compositor olvidado. Sabin Salaberri,https://www.youtube.com/watch?v=XqTFdQOEZ6A,2016-02-08 15:45:45
5,Ley y derecho en el Imperio Romano. José Ramón Ayllón,https://www.youtube.com/watch?v=6aBo3pd5gtA,2016-02-15 10:08:16
6,"La aparición del Cristianismo. Origen, desarrollo y repercusión. José Ramón AyllónMAL SONIDO",https://www.youtube.com/watch?v=wApnVyWuOQw,2016-02-15 10:09:16
7,"Carlomagno: vida, creación política e idea de Europa. Julia Pavón",https://www.youtube.com/watch?v=ktQzZMj5N7A,2016-02-17 16:13:36
8,El papel del alfabeto en la aparición de la democracia en la Antigua Grecia. Eva Tobalina,https://www.youtube.com/watch?v=PUZgGEL9Mwc,2016-02-18 10:04:00
9,TARTESSOS. Historia y misterio de una civilización apasionante. Eva Tobalina,https://www.youtube.com/watch?v=NoLfnKYrLHk,2016-02-25 17:31:22
10,El Renacimiento y los Renacimientos en Europa. Maravillas por descubrir y gozar. Jorge Latorre,https://www.youtube.com/watch?v=Q2-TH8lVnGA,2016-02-26 22:03:37
11,"Claves del Barroco, Neoclasicismo y Romanticismo. Jorge Latorre",https://www.youtube.com/watch?v=bF5U70TEcsI,2016-02-26 22:04:17
12,Los vikingos: el pueblo que conmovió al mundo. Mito y realidad. Jorge Latorre,https://www.youtube.com/watch?v=S8Nw9YvTcYo,2016-03-16 18:25:58
13,"Entrevista a Antonio López, el genial pintor y escultor. Por Jorge Latorre",https://www.youtube.com/watch?v=jHdCSXYmboA,2016-04-05 08:58:36
14,Chesterton. EL genial ensayista inglés del sigo XX Y sus claves del mundo moderno. José Ramón Ayllón,https://www.youtube.com/watch?v=axSwDRbQ-XQ,2016-04-27 16:04:36
15,"La educacion en la Antigua Grecia. Entrevista con Manuel Cruz, profesor de Filosofía Antigua",https://www.youtube.com/watch?v=3_LjkBeNFv4,2016-04-30 11:07:37
16,"La educación en la Antigua Grecia. Manuel Cruz, profesor de Historia de la Filosofía",https://www.youtube.com/watch?v=V2bMtXpm_uc,2016-04-30 11:10:33
17,La sociedad civil y la crisis de la ciudadanía europea. David Thunder,https://www.youtube.com/watch?v=PwPnnY7VnmM,2016-05-02 17:30:49
18,Noruega y Escandinavia. Reflexiones desde la historia y la cultura. Martin Simonson,https://www.youtube.com/watch?v=6bIRqSJtXRI,2016-05-02 17:43:27
19,Entrega Premios Raíces de Europa al pintor Antonio López y al director del Prado Miguel Zugaza,https://www.youtube.com/watch?v=riZaNXDMf5A,2016-05-11 11:07:43
20,Románico y gótico en Noruega. Sus bellísimas iglesias de madera y mucho más. José Alipio Morejón,https://www.youtube.com/watch?v=jd8L3O1dHD8,2016-05-12 09:39:58
21,Descubrimiento y conquista de América. Bosco Amores,https://www.youtube.com/watch?v=V8tB4sfN1p0,2016-05-13 16:13:00
22,"La actualidad del Quijote, icono universal de nuestro tiempo. Jorge Latorre",https://www.youtube.com/watch?v=qg1ehKCzA8Y,2016-05-17 11:49:15
23,La arquitectura mozárabe. Jesús Muñiz Petralanda,https://www.youtube.com/watch?v=gkqqxXpJATU,2016-05-31 16:47:18
24,"Lima Virreinal, la ciudad de los Reyes. Rafael Ramos",https://www.youtube.com/watch?v=nL4fyFBx61U,2016-06-06 17:04:39
25,"Arequipa Virreinal, la Ciudad Blanca. Rafael Ramos",https://www.youtube.com/watch?v=sEkauovrj2o,2016-06-07 14:30:44
26,Irán: historia y cultura (II). Del Imperio Persa Sasánida a la Revolución de Jomeini,https://www.youtube.com/watch?v=zMTA3rV-lyw,2016-08-31 08:14:14
27,"Entrevista a Iñigo González. ""El crecimiento económico de Europa""",https://www.youtube.com/watch?v=py2A0EukviY,2016-09-15 15:41:10
28,Europa: migraciones y desplazamientos tras la II Guerra Mundial. Ricardo Martín de la Guardia,https://www.youtube.com/watch?v=8nJQB_dtEv0,2016-09-28 16:20:57
29,"Entrevista a Antonio Moreno Ibáñez. ""La unidad financiera y bancaria, claves para el crecimiento""",https://www.youtube.com/watch?v=v6nX7N6RETQ,2016-10-03 16:17:46
30,Entrevista a Carlos Echeverría. Energía y abastecimiento energético de Europa.,https://www.youtube.com/watch?v=gfwTq9wmhQI,2016-10-17 16:15:59
31,Energía y abastecimiento energético de Europa. Carlos Echeverría,https://www.youtube.com/watch?v=dgzW9jcPMdY,2016-10-17 17:45:59
32,Entrevista a Jorge Latorre. El papel fundamental de la educación en el desarrollo de Europa,https://www.youtube.com/watch?v=ZEkmRwEXauc,2016-10-18 11:24:16
33,El papel fundamental de la educación en el desarrollo de Europa. Jorge Latorre,https://www.youtube.com/watch?v=YQN61HJS1xE,2016-10-18 16:36:46
34,El Imperio romano y la llegada de los migrantes pueblos germanos. Ana Dulska,https://www.youtube.com/watch?v=UbLMutViyWs,2016-10-25 17:10:12
35,El Imperio romano y la llegada de los migrantes pueblos germanos. Ana Dulska,https://www.youtube.com/watch?v=c4g54PooyG8,2016-10-28 09:35:06
36,Integración social y económica en el Imperio romano. Eva Tobalina,https://www.youtube.com/watch?v=eUoxhEFIJM8,2016-10-28 11:05:03
37,Viena: arte y arquitectura. Juan L. Roquette Rodríguez-Villamil,https://www.youtube.com/watch?v=niDIW48jM18,2016-11-07 15:38:29
38,Refugiados e inmigrantes. Reflexiones para afrontar la crisis actual. Romualdo Bermejo,https://www.youtube.com/watch?v=AJWGwnSmenQ,2016-11-07 16:50:53
39,Don Quijote de la Mancha: puente cultural por encima de muros y distancias. Jorge Latorre,https://www.youtube.com/watch?v=5z-wjKLJ9mc,2016-11-10 17:18:41
40,"""El tamborilero"". Cena Navidad Raíces de Europa. Elisa Pañagaricano y Alberto Itoiz",https://www.youtube.com/watch?v=5k1fhSlLMHQ,2016-12-23 11:08:51
41,El arte en la Europa de Cervantes y Shakespeare (I). José Alipio Morejón,https://www.youtube.com/watch?v=3zLSEXjZz3I,2017-01-03 16:33:05
42,El arte en la Europa de Cervantes y Shakespeare (II). José Alipio Morejón,https://www.youtube.com/watch?v=bXXs67jTprw,2017-01-04 10:48:02
43,"Los Duques Aragones del Quijote. Política, cultura y mecenzago en el siglo XVI. José Alipio Morejón",https://www.youtube.com/watch?v=yCGYly4X8o4,2017-01-05 12:43:47
44,Cervantes y la mitología griega. Eva Tobalina,https://www.youtube.com/watch?v=3nPRJUk611I,2017-01-05 17:21:21
45,Cervantes: la filosofía que subyace tras el gran genio de las letras y el Quijote. Guillermo Navarro,https://www.youtube.com/watch?v=szVeLyDuO88,2017-01-10 15:15:23
46,Macbeth. Shakespeare y el teatro en la Inglaterra de Isabel I. Gabriel Insausti,https://www.youtube.com/watch?v=HFVIXEGrbyw,2017-01-18 15:14:21
47,EL IMPERIO PERSA. La apasionante historia del primer imperio mundial. Eva Tobalina,https://www.youtube.com/watch?v=r0iqgEKUbDE,2017-01-26 16:35:10
48,Obras capitales del arte europeo (II). Cómo ver una obra de arte. José Alipio Morejón,https://www.youtube.com/watch?v=PG8CGNivQz0,2017-02-07 11:13:02
49,Alejandro Magno y el Imperio Persa. Eva Tobalina,https://www.youtube.com/watch?v=8omLPAfPt60,2017-02-16 16:12:05
50,El Barroco del sur de Andalucía (I). Jorge Latorre,https://www.youtube.com/watch?v=K1K9PEkdOtw,2017-02-23 16:42:17
51,"El Imperio Romano y Germania. Tréveris, la Roma del Norte. Eva Tobalina",https://www.youtube.com/watch?v=s7gmEc12pOA,2017-03-23 17:38:42
52,Escocia. Una aproximación a su apasionante historia y cultura. Jorge Latorre,https://www.youtube.com/watch?v=-o3W34-IqZU,2017-04-05 15:33:31
53,Obras capitales del arte europeo (3). Tras una obra de arte hay muchas más. José Alipio Morejón,https://www.youtube.com/watch?v=x4wscIFo04g,2017-05-15 16:35:45
54,"Persépolis, la capital de los persas Aqueménidas, y Naqs-e-Rostan, la gran necrópolis. Eva Tobalina",https://www.youtube.com/watch?v=Yo8MAtQ5TEM,2017-06-14 10:22:42
55,Isfahán y el sueño de la Persia Safávida. Eva Tobalina,https://www.youtube.com/watch?v=H7wfE50afGQ,2017-06-14 14:27:33
56,El escultor Jorge Oteiza: vida y obra de un genio poliédrico. Gabriel Insausti,https://www.youtube.com/watch?v=t5scr2h2bIM,2017-07-09 17:39:34
57,La Batalla de Vitoria. Eva Tobalina,https://www.youtube.com/watch?v=AhZ0Kc_Mvfw,2017-07-09 17:56:12
58,Tierra Santa en tiempos de Jesús. Contexto histórico y cultural. Francisco Varo,https://www.youtube.com/watch?v=LuTXNkCi5aA,2017-08-11 13:36:13
59,El Santo Sepulcro de Jerusalén. Acercamiento histórico y arqueológico. Francisco Varo,https://www.youtube.com/watch?v=TLTinbK_rpI,2017-08-14 13:44:05
60,Flandes y su extraordinaria importancia en la historia y creación artística europea. Jorge Latorre,https://www.youtube.com/watch?v=sNKRO5wnztY,2017-08-19 16:08:18
61,"El políptico de San Bavón en Gante o del Cordero Místico, maravilla del arte. José Alipio Morejón",https://www.youtube.com/watch?v=QXyIyO3vlg0,2017-08-21 13:54:58
62,El nacimiento de la imprenta: el invento que revolucionó el mundo. Jorge Latorre,https://www.youtube.com/watch?v=BWd2vHn7puQ,2017-09-11 16:10:55
